,url,Marke,Model,Kilometerstand,Antrieb,Baujahr,Motorleistung,Preis,Sitzplätze,Türen,Hubraum,Außenfarbe
92,https://www.autoscout24.de/angebote/audi-a7-sportback-3-0tdi-qu-individuell-headup-stdhzg-diesel-bronze-618445b5-d068-4fd5-87aa-4113a06ee701,Audi, A7 ,179817,Automatik,2013,180,24980.0,4,5,2967,Bronze
93,https://www.autoscout24.de/angebote/audi-rs7-4-0-tfsi-quattro-leder-acc-virtual-pano-b-o-benzin-schwarz-e03ec422-89a5-497e-8ec9-97b7c96e7b45,Audi, RS7 ,46000,Automatik,2021,441,115990.0,4,4,3996,Schwarz
94,https://www.autoscout24.de/angebote/audi-a6-avant-sport-55-tfsi-qu-s-tronic-s-line-ext-pano-benzin-blau-fc135c19-b265-4428-9ed3-57f7098d2743,Audi, A6 ,62590,Automatik,2019,250,41412.0,5,4,2995,Blau
95,https://www.autoscout24.de/angebote/audi-a3-sportback-1-4-tfsi-ambition-panorama-navi-scheckh-benzin-weiss-e07aa5c6-01c4-49a9-9892-313a01a40ef1,Audi, A3 ,85628,Schaltgetriebe,2013,92,13980.0,5,5,1395,Weiß
96,https://www.autoscout24.de/angebote/audi-a8-4-2-tdi-q-matrix-nachts-hud-bose-hud-soft-360-diesel-schwarz-a7174277-5e7a-475b-a12d-1b5d94bc0e9f,Audi, A8 ,128000,Automatik,2013,283,28990.0,5,4,4134,Schwarz
97,https://www.autoscout24.de/angebote/audi-a6-lim-3-0-tdi-quattro-tiptronic-navi-kamera-diesel-schwarz-6bd8fbeb-1f4a-466b-8129-5c79dd00980e,Audi, A6 ,139320,Automatik,2014,230,22950.0,5,4,2967,Schwarz
98,https://www.autoscout24.de/angebote/audi-a5-3-0-tdi-qu-s-line-1-hand-scheckheft-ahk-18z-diesel-weiss-6bfde365-f85d-420e-983f-a116f7fb3632,Audi, A5 ,117700,Automatik,2012,180,18880.0,4,2,2967,Weiß
99,https://www.autoscout24.de/angebote/audi-a5-sportback-3-0-tdi-qua-s-tronic-bi-xenon-navi-diesel-braun-fc890ed9-2277-4a94-9566-06a071582b24,Audi, A5 ,104000,Automatik,2016,180,21990.0,4,5,2967,Braun
100,https://www.autoscout24.de/angebote/audi-q5-3-0-tdi-quattro-1-hand-erst-87-000-km-autom-diesel-grau-e8e6aeb5-1c27-49ff-8427-935769a1dc34,Audi, Q5 ,87000,Automatik,2011,176,18900.0,5,4,2967,Grau
101,https://www.autoscout24.de/angebote/audi-q3-2-0-tdi-quattro-sport-ahk-navi-kamera-diesel-schwarz-e159e156-2e8c-42fa-85f8-01f4715bef8f,Audi, Q3 ,110422,Schaltgetriebe,2016,135,19990.0,5,5,1968,Schwarz
102,https://www.autoscout24.de/angebote/audi-s5-3-0-tfsi-quattro-ahk-virtual-matrix-benzin-weiss-39b49844-3af3-4406-8efb-5181e430f659,Audi, S5 ,120000,Automatik,2017,260,32900.0,4,3,2995,Weiß
103,https://www.autoscout24.de/angebote/audi-a3-1-4-tfsi-virtual-cockpit-navi-xenon-benzin-schwarz-baaf6b61-4b01-42e0-8019-7863b469b3a5,Audi, A3 ,89150,Schaltgetriebe,km),110,17490.0,5,5,nan,Schwarz
104,https://www.autoscout24.de/angebote/audi-e-tron-advanced-55-quattro-300-kw-navi-luft-elektro-schwarz-77149ad1-661e-44dc-88a4-d6df63202e73,Audi, e-tron ,13084,Automatik,100 km (komb.),300,42690.0,5,5,nan,Schwarz
105,https://www.autoscout24.de/angebote/audi-a4-avant-50-tdi-quattro-s-line-klima-led-head-up-k-diesel-weiss-d1790950-4bca-43d3-b6af-b03c4d3813f1,Audi, A4 ,70328,Automatik,2021,210,35550.0,5,5,2967,Weiß
106,https://www.autoscout24.de/angebote/audi-a3-limousine-s-line-40-tfsi-quattro-s-tronic-19-acc-benzin-weiss-88188998-c8d8-44e7-b714-f9337d0d2a9c,Audi, A3 ,6000,Automatik,2022,140,48980.0,5,5,1984,Weiß
107,https://www.autoscout24.de/angebote/audi-q5-40-tdi-quattro-sport-nav-xen-ahk-kamera-e6dt-diesel-schwarz-d405ab4c-fe6e-4a27-b401-ef00e994e3a6,Audi, Q5 ,124750,Automatik,2019,140,28989.0,5,5,1968,Schwarz
108,https://www.autoscout24.de/angebote/audi-a5-sportback-40-tfsi-kamera-led-leder-b-o-benzin-weiss-f37222a0-ef94-4366-807c-2da9f3da8bd6,Audi, A5 ,67000,Automatik,2019,140,28300.0,5,4,1984,Weiß
109,https://www.autoscout24.de/angebote/audi-a3-1-2-tfsi-attraction-benzin-schwarz-6c37f42c-6102-48c6-86bf-b059a480fc8d,Audi, A3 ,124200,Schaltgetriebe,2015,81,11950.0,5,3,1197,Schwarz
110,https://www.autoscout24.de/angebote/audi-s3-2-0-tfsi-q-navi-lm18-pdc-leder-benzin-grau-cc7f3ee5-b3aa-4868-88e3-69279b0c7c95,Audi, S3 ,87913,Automatik,km),221,23360.0,5,3,1984,Grau
